source	target	source_idx	target_idx	value	label	sign
103	102	3	2	32815127	　　당기순이익	+
104	102	4	2	27095149	　　조정	+
102	101	2	1	59910276	　영업에서 창출된 현금흐름	+
106	101	5	1	459074	　이자의 수취	+
108	101	6	1	779567	　배당금 수입	+
117	110	7	6	7345	　기타포괄손익-공정가치금융자산의 처분	+
119	110	8	6	7421	　당기손익-공정가치금융자산의 처분	+
121	110	9	6	25846	　종속기업, 관계기업 및 공동기업 투자의 처분	+
123	110	10	6	340558	　유형자산의 처분	+
125	110	11	6	706	　무형자산의 처분	+
135	0	12	0	2763768	기초 현금 및 현금성자산	+
101	0	1	0	61148917	영업활동 현금흐름	+
110	0	6	0	381876	투자활동 현금흐름	+
0	201	0	13	16,807,700	영업활동 현금흐름	-
0	210	0	18	32,060,424	투자활동 현금흐름	-
0	228	0	27	12,818,480	재무활동 현금흐름	-
0	236	0	32	2,607,957	기말 현금 및 현금성자산	-
201	202	13	14	6,313,965	　영업에서 창출된 현금흐름	-
201	207	13	16	343,270	　이자의 지급	-
201	209	13	17	10,150,465	　법인세 납부액	-
210	211	18	19	7,203,807	　단기금융상품의 순감소(증가)	-
210	214	18	20	1,860,000	　장기금융상품의 취득	-
210	218	18	21	204,055	　기타포괄손익-공정가치금융자산의 취득	-
210	220	18	22	1,776	　당기손익-공정가치금융자산의 취득	-
210	222	18	23	520,660	　종속기업, 관계기업 및 공동기업 투자의 취득	-
210	224	18	24	21,387,378	　유형자산의 취득	-
210	226	18	25	880,032	　무형자산의 취득	-
210	227	18	26	2,716	　현금의 기타유출입	-
228	229	27	28	1,796,186	　단기차입금의 순증가(감소)	-
228	230	27	29	875,111	　자기주식의 취득	-
228	231	27	30	5,357	　사채 및 장기차입금의 상환	-
228	232	27	31	10,141,826	　배당금 지급	-
202	205	14	15	6,313,965	　　영업활동으로 인한 자산부채의 변동	-
